Country,Date,Confirmed
France,4/6/20,1
France,4/7/20,1
France,4/8/20,1
France,4/9/20,1
France,4/10/20,1
France,4/11/20,1
France,4/12/20,1
France,4/13/20,1
France,4/14/20,1
France,4/15/20,1
France,4/16/20,1
France,4/17/20,1
France,4/18/20,1
France,4/19/20,1
France,4/20/20,1
France,4/21/20,1
France,4/22/20,1
France,4/23/20,1
France,4/24/20,1
France,4/25/20,1
France,4/26/20,1
France,4/27/20,1
France,4/28/20,1
France,4/29/20,1
France,4/30/20,1
France,5/1/20,1
