Date,Type,Case
4/5/2020,Confirmed,241
4/5/2020,New Cases,1
4/5/2020,Recovered,90
4/6/2020,Confirmed,245
4/6/2020,New Cases,4
4/6/2020,Recovered,95
4/7/2020,Confirmed,249
4/7/2020,New Cases,6
4/7/2020,Recovered,123
4/8/2020,Confirmed,251
4/8/2020,New Cases,0
4/8/2020,Recovered,126
4/9/2020,Confirmed,255
4/9/2020,New Cases,4
4/9/2020,Recovered,128
4/10/2020,Confirmed,257
4/10/2020,New Cases,2
4/10/2020,Recovered,144
4/11/2020,Confirmed,258
4/11/2020,New Cases,1
4/11/2020,Recovered,144
4/12/2020,Confirmed,262
4/12/2020,New Cases,4
4/12/2020,Recovered,144
4/13/2020,Confirmed,265
4/13/2020,New Cases,2
4/13/2020,Recovered,146
4/14/2020,Confirmed,266
4/14/2020,New Cases,3
4/14/2020,Recovered,169
4/15/2020,Confirmed,267
4/15/2020,New Cases,1
4/15/2020,Recovered,171
4/16/2020,Confirmed,268
4/16/2020,New Cases,0
4/16/2020,Recovered,177
4/17/2020,Confirmed,268
4/17/2020,New Cases,0
4/17/2020,Recovered,198
4/18/2020,Confirmed,268
4/18/2020,New Cases,0
4/18/2020,Recovered,201
4/19/2020,Confirmed,268
4/19/2020,New Cases,0
4/19/2020,Recovered,202
4/20/2020,Confirmed,268
4/20/2020,New Cases,0
4/20/2020,Recovered,214
4/21/2020,Confirmed,268
4/21/2020,New Cases,0
4/21/2020,Recovered,216
4/22/2020,Confirmed,268
4/22/2020,New Cases,0
4/22/2020,Recovered,223
4/23/2020,Confirmed,268
4/23/2020,New Cases,0
4/23/2020,Recovered,224
4/24/2020,Confirmed,270
4/24/2020,New Cases,2
4/24/2020,Recovered,220
4/25/2020,Confirmed,270
4/25/2020,New Cases,0
4/25/2020,Recovered,225
4/26/2020,Confirmed,270
4/26/2020,New Cases,0
4/26/2020,Recovered,225
4/27/2020,Confirmed,270
4/27/2020,New Cases,0
4/27/2020,Recovered,225
4/28/2020,Confirmed,270
4/28/2020,New Cases,0
4/28/2020,Recovered,222
4/29/2020,Confirmed,270
4/29/2020,New Cases,0
4/29/2020,Recovered,222
4/30/2020,Confirmed,270
4/30/2020,New Cases,0
4/30/2020,Recovered,219
5/1/2020,Confirmed,270
5/1/2020,New Cases,0
5/1/2020,Recovered,219
5/2/2020,Confirmed,270
5/2/2020,New Cases,0
5/2/2020,Recovered,219
5/3/2020,Confirmed,271
5/3/2020,New Cases,0
5/3/2020,Recovered,219
5/4/2020,Confirmed,271
5/4/2020,New Cases,1
5/4/2020,Recovered,219
5/5/2020,Confirmed,271
5/5/2020,New Cases,0
5/5/2020,Recovered,232
5/6/2020,Confirmed,271
5/6/2020,New Cases,0
5/6/2020,Recovered,232
5/7/2020,Confirmed,288
5/7/2020,New Cases,0
5/7/2020,Recovered,233
5/8/2020,Confirmed,288
5/8/2020,New Cases,17
5/8/2020,Recovered,241
5/9/2020,Confirmed,288
5/9/2020,New Cases,0
5/9/2020,Recovered,241
5/10/2020,Confirmed,288
5/10/2020,New Cases,0
5/10/2020,Recovered,241
5/11/2020,Confirmed,288
5/11/2020,New Cases,0
5/11/2020,Recovered,249
5/12/2020,Confirmed,288
5/12/2020,New Cases,0
5/12/2020,Recovered,252
5/13/2020,Confirmed,288
5/13/2020,New Cases,0
5/13/2020,Recovered,252
5/14/2020,Confirmed,312
5/14/2020,New Cases,0
5/14/2020,Recovered,260
5/15/2020,Confirmed,314
5/15/2020,New Cases,24
5/15/2020,Recovered,260
5/16/2020,Confirmed,318
5/16/2020,New Cases,1
5/16/2020,Recovered,260
5/17/2020,Confirmed,320
5/17/2020,New Cases,5
5/17/2020,Recovered,260
5/18/2020,Confirmed,324
5/18/2020,New Cases,2
5/18/2020,Recovered,263
5/19/2020,Confirmed,324
5/19/2020,New Cases,4
5/19/2020,Recovered,263
5/20/2020,Confirmed,324
5/20/2020,New Cases,0
5/20/2020,Recovered,263
5/21/2020,Confirmed,324
5/21/2020,New Cases,0
5/21/2020,Recovered,266
5/22/2020,Confirmed,324
5/22/2020,New Cases,0
5/22/2020,Recovered,267
5/23/2020,Confirmed,325
5/23/2020,New Cases,0
5/23/2020,Recovered,267
5/24/2020,Confirmed,325
5/24/2020,New Cases,0
5/24/2020,Recovered,267
5/25/2020,Confirmed,326
5/25/2020,New Cases,1
5/25/2020,Recovered,272
5/26/2020,Confirmed,327
5/26/2020,New Cases,1
5/26/2020,Recovered,272
5/27/2020,Confirmed,327
5/27/2020,New Cases,1
5/27/2020,Recovered,278
5/28/2020,Confirmed,327
5/28/2020,New Cases,0
5/28/2020,Recovered,278
5/29/2020,Confirmed,328
5/29/2020,New Cases,0
5/29/2020,Recovered,279
5/30/2020,Confirmed,328
5/30/2020,New Cases,0
5/30/2020,Recovered,279
5/31/2020,Confirmed,328
5/31/2020,New Cases,0
5/31/2020,Recovered,279
6/1/2020,Confirmed,328
6/1/2020,New Cases,1
6/1/2020,Recovered,293
6/2/2020,Confirmed,328
6/2/2020,New Cases,0
6/2/2020,Recovered,298
6/3/2020,Confirmed,328
6/3/2020,New Cases,0
6/3/2020,Recovered,302
6/4/2020,Confirmed,328
6/4/2020,New Cases,0
6/4/2020,Recovered,302
6/5/2020,Confirmed,328
6/5/2020,New Cases,0
6/5/2020,Recovered,307
6/6/2020,Confirmed,329
6/6/2020,New Cases,1
6/6/2020,Recovered,307
6/7/2020,Confirmed,331
6/7/2020,New Cases,0
6/7/2020,Recovered,307
6/8/2020,Confirmed,332
6/8/2020,New Cases,2
6/8/2020,Recovered,316
6/9/2020,Confirmed,332
6/9/2020,New Cases,1
6/9/2020,Recovered,316
6/10/2020,Confirmed,332
6/10/2020,New Cases,0
6/10/2020,Recovered,320
6/11/2020,Confirmed,332
6/11/2020,New Cases,0
6/11/2020,Recovered,321
6/12/2020,Confirmed,333
6/12/2020,New Cases,0
6/12/2020,Recovered,323
6/13/2020,Confirmed,334
6/13/2020,New Cases,1
6/13/2020,Recovered,323
