Country,Date,Confirmed
Vietnam,4/1/20,218
Vietnam,4/2/20,233
Vietnam,4/3/20,237
Vietnam,4/4/20,240
Vietnam,4/5/20,241
Vietnam,4/6/20,245
Vietnam,4/7/20,249
Vietnam,4/8/20,251
Vietnam,4/9/20,255
Vietnam,4/10/20,257
Vietnam,4/11/20,258
Vietnam,4/12/20,262
Vietnam,4/13/20,265
Vietnam,4/14/20,266
Vietnam,4/15/20,267
Vietnam,4/16/20,268
Vietnam,4/17/20,268
Vietnam,4/18/20,268
Vietnam,4/19/20,268
Vietnam,4/20/20,268
Vietnam,4/21/20,268
Vietnam,4/22/20,268
Vietnam,4/23/20,268
Vietnam,4/24/20,270
Vietnam,4/25/20,270
Vietnam,4/26/20,270
Vietnam,4/27/20,270
Vietnam,4/28/20,270
Vietnam,4/29/20,270
Vietnam,4/30/20,270
Vietnam,5/1/20,270
